FLIGHT REG,AGE
A6-BLR,5 years
A6-BLP,5 years
A6-BLK,6 years
A6-XWE,3 years
A6-XWB,4 years
A6-XWC,3 years
A6-XWF,3 years
A6-XWA,3 years
A6-BLF,7 years
A6-BLN,5 years
N655CA,19 years
N368CA,20 years
N390CA,20 years
N8968E,18 years
N832AY,18 years
XA-MAT,4 years
XA-MAQ,4 years
XA-MAO,4 years
XA-MAG,5 years
XA-MAK,5 years
XA-SSR,4 years
XA-DRA,16 years
N958AM,8 years
XA-JOY,15 years
N825AM,8 years
XA-AMJ,10 years
XA-AMN,8 years
N957AM,8 years
N377AR,13 years
XA-AMU,7 years
XA-ADU,5 years
XA-ZAM,15 years
XA-AMG,9 years
XA-AMK,10 years
XA-AMS,8 years
XA-AMB,9 years
XA-AML,8 years
G-VSXY,12 years
G-VRAY,11 years
G-VINE,12 years
G-VGBR,10 years
G-VNYC,11 years
G-VKSS,12 years
G-VUFO,10 years
G-VLUV,12 years
G-VWAG,10 years
G-VGEM,12 years
N370NB,19 years
N329NW,31 years
N345NW,30 years
N356NW,25 years
G-VPOP,3 years
G-VLUX,3 years
G-VRNB,2 years
G-VTEA,2 years
G-VJAM,3 years
G-VDOT,6 years
G-VJAZ,Brand new
G-VLDY,Brand new
G-VTOM,Brand new
G-VPRD,3 years
G-VEVE,1 year
G-VMAP,7 years
G-VBOW,6 years
G-VCRU,7 years
G-VWOO,5 years
G-VNYL,5 years
G-VOWS,7 years
G-VOOH,8 years
G-VBZZ,7 years
G-VZIG,8 years
G-VBEL,5 years
G-VAHH,8 years
G-VYUM,8 years
G-VNEW,8 years
G-VFAN,6 years
G-VWHO,7 years
G-VDIA,7 years
G-VSPY,7 years
N948NN,9 years
N921NN,10 years
N901AN,24 years
N966AN,21 years
N906AN,24 years
N931NN,9 years
N357NB,20 years
N334NB,21 years
N322NB,22 years
N335NB,21 years
N314NB,23 years
N318NB,22 years
N331NB,21 years
N358NB,20 years
N327NB,22 years
N320NB,22 years
N301NB,23 years
N349NB,20 years
N325NB,22 years
N352NB,20 years
N366NB,19 years
N382DA,23 years
N380DA,23 years
N3736C,22 years
N302NB,23 years
N347NB,20 years
PH-BVU,5 years
C-FBWJ,18 years
C-FWCN,19 years
C-FRWA,10 years
C-GWSZ,13 years
C-GWJT,12 years
C-FWSO,19 years
C-GQWJ,15 years
C-FKIW,12 years
C-GWSX,12 years
C-GWJG,15 years
C-FLWJ,12 years
C-FUMF,8 years
C-GSWJ,12 years
C-FKWJ,12 years
C-GWJF,18 years
C-FRYV,5 years
C-FKWS,21 years
C-GUWJ,15 years
C-GWSA,17 years
C-GWSP,13 years
C-FZRM,6 years
C-GMWJ,16 years
C-FZWS,Brand new
C-GWBJ,19 years
C-FHCM,4 years
C-FRAX,5 years
C-GRWS,20 years
C-GWRG,11 years
C-FUWS,18 years
C-GCWJ,18 years
C-FGWJ,18 years
C-GWJO,18 years
C-GWBX,17 years
C-GZSG,4 years
C-GGWJ,15 years
C-FWSY,19 years
C-FWSF,19 years
C-FIBW,12 years
C-GVWA,9 years
C-GYWJ,17 years
C-GWBF,19 years
C-FDMB,8 years
C-FWSX,19 years
C-FCNW,12 years
C-GWCM,19 years
C-GOCD,5 years
C-GWSQ,13 years
C-FUJR,8 years
C-GWBU,8 years
C-GKWJ,18 years
C-GWBT,19 years
C-GWSN,13 years
C-GAMQ,4 years
C-FCSX,8 years
C-FWJS,8 years
C-GCAM,5 years
C-GWCN,17 years
C-FNAX,5 years
C-GEHF,4 years
C-FXMS,6 years
C-GWWJ,15 years
C-GWSR,14 years
C-FUSM,9 years
C-FNWD,4 years
C-GRTB,6 years
C-GWSV,14 years
C-GAWS,10 years
C-GRAX,5 years
C-GJWS,17 years
C-GWAZ,18 years
C-FBWI,10 years
C-GDDR,4 years
C-GWBL,17 years
C-GXAX,5 years
C-GKWA,10 years
C-GVWJ,15 years
C-GWLK,3 years
C-FWSI,13 years
C-FWVJ,11 years
C-FWSK,14 years
N776XF,19 years
N816AW,22 years
N721UW,23 years
N767UW,22 years
N703UW,24 years
N770UW,22 years
N902NN,10 years
N907AN,24 years
N903AN,24 years
N863NN,12 years
N338PK,5 years
N902AN,24 years
N944AN,22 years
N982NN,7 years
N922AN,23 years
N760US,22 years
N773XF,19 years
N705UW,24 years
N704US,24 years
N710UW,24 years
N825AW,21 years
N724UW,23 years
N723UW,23 years
N713UW,23 years
N709UW,24 years
N708UW,24 years
N5007E,9 years
N4032T,7 years
N9016,9 years
N9010R,9 years
N3014R,9 years
N9012,9 years
N9022G,8 years
N925NN,10 years
N908AN,24 years
N306NY,6 years
N928NN,9 years
JY-BAF,8 years
JY-BAE,8 years
JY-BAG,6 years
JY-BAH,6 years
JY-BAC,8 years
JY-BAA,8 years
JY-BAB,8 years
N819AY,18 years
N8894A,19 years
G-EIDY,13 years
G-EILA,13 years
G-EIRH,2 years
N613AZ,23 years
N479AZ,30 years
N229AZ,29 years
N409AZ,32 years
N569AZ,31 years
N347AZ,29 years
N1439A,26 years
N449AZ,32 years
N419AZ,28 years
N491AZ,25 years
N389AZ,28 years
N641AZ,23 years
N331AZ,31 years
N617AZ,21 years
N457AZ,30 years
N503AZ,31 years
N227AZ,28 years
N257AZ,24 years
N359AZ,34 years
N251AZ,24 years
N307AZ,25 years
N313AZ,32 years
N431AZ,33 years
N353AZ,31 years
N311AZ,31 years
N433AZ,33 years
N239AZ,28 years
N233AZ,25 years
N1049A,23 years
N317AZ,30 years
N443AZ,30 years
N241AZ,28 years
N337AZ,29 years
N379AZ,30 years
N499AZ,24 years
N367AZ,29 years
N397AZ,35 years
N895NN,10 years
N90024,8 years
N866NN,12 years
N9018E,8 years
N9004F,9 years
N987AM,6 years
N93003,9 years
N833AW,20 years
N9008U,9 years
N9026C,8 years
N9015D,10 years
N70020,8 years
N9023N,8 years
N9017P,9 years
N177XF,16 years
N801AW,24 years
N764US,22 years
N808AW,23 years
G-VEII,Brand new
G-VLIB,1 year
N926AT,22 years
N377DA,24 years
N3744F,22 years
N37700,21 years
N3743H,22 years
N535AS,12 years
N923VA,5 years
N926VA,5 years
N929VA,3 years
N921VA,6 years
N930VA,3 years
N927VA,5 years
N928VA,4 years
N924VA,5 years
N922VA,5 years
N570AS,16 years
N585AS,15 years
N562AS,16 years
N533AS,12 years
N506AS,14 years
N588AS,15 years
N532AS,12 years
N577AS,16 years
N534AS,12 years
N587AS,15 years
N563AS,16 years
TC-JJH,12 years
TC-LJA,8 years
TC-LJI,6 years
TC-JJR,8 years
TC-LJG,7 years
TC-JJI,12 years
TC-LJF,7 years
TC-JJN,11 years
TC-JJP,11 years
TC-JJZ,8 years
TC-JJY,8 years
TC-LJD,7 years
TC-LJC,7 years
TC-LJE,7 years
TC-JJL,12 years
TC-JJO,11 years
TC-JJV,8 years
TC-LJH,7 years
TC-JJK,12 years
TC-JJF,12 years
TC-JJT,8 years
TC-JJM,12 years
TC-JJS,8 years
TC-JNZ,9 years
TC-LJB,7 years
TC-JPN,14 years
TC-JVM,7 years
TC-JOB,9 years
TC-JOA,9 years
TC-JJE,12 years
TC-JOD,8 years
TC-LND,7 years
TC-JJU,8 years
TC-JOG,8 years
TC-JNP,11 years
TC-JOE,8 years
TC-JOL,7 years
TC-JOK,7 years
TC-JHV,9 years
TC-JJJ,12 years
TC-LNF,7 years
TC-JPM,15 years
TC-LJK,6 years
TC-JHL,11 years
TC-LSU,3 years
TC-JJG,12 years
TC-LJJ,6 years
TC-JVJ,7 years
N8001N,9 years
N711UW,23 years
N974UY,11 years
N185UW,21 years
N136AN,8 years
N540UW,13 years
N561UW,10 years
N741UW,22 years
N820AW,22 years
G-YMMD,23 years
G-VIIO,24 years
G-VIIU,23 years
G-VIIP,24 years
G-VIIR,24 years
G-YMMC,23 years
G-VIIX,23 years
G-YMME,23 years
G-YMMO,21 years
G-YMMF,23 years
G-YMMA,23 years
G-YMMR,14 years
G-VIIT,24 years
G-YMMB,23 years
G-YMMI,22 years
G-YMMP,21 years
G-YMMJ,22 years
G-YMMU,13 years
G-YMMS,14 years
G-YMMT,13 years
G-STBC,12 years
B-20E8,3 years
B-1167,4 years
B-20EH,3 years
B-209E,4 years
B-209X,3 years
B-20D7,3 years
B-1169,4 years
N331CA,20 years
N324NB,22 years
N371NB,19 years
N365NB,19 years
N355NB,20 years
N322SY,Brand new
N183SY,6 years
N391CA,19 years
N923EV,19 years
N448SW,20 years
N170FE,4 years
N153FE,5 years
N521FE,30 years
N525FE,30 years
N593FE,30 years
N276FE,2 years
N294FE,1 year
N596FE,30 years
N612FE,29 years
N528FE,26 years
N130FE,7 years
N168FE,4 years
N607FE,30 years
N605FE,30 years
N178FE,3 years
N105FE,4 years
N584FE,31 years
N271FE,2 years
N169FE,4 years
N597FE,30 years
N623FE,23 years
N643FE,30 years
N138FE,6 years
N197FE,1 year
N582FE,32 years
N602FE,33 years
N277FE,2 years
N614FE,30 years
N587FE,31 years
N522FE,30 years
N184FE,3 years
N182FE,3 years
N583FE,32 years
N585FE,31 years
N140FE,6 years
N278FE,1 year
N598FE,30 years
N613FE,27 years
N186FE,2 years
N155FE,5 years
N594FE,30 years
N193FE,1 year
N279FE,1 year
N589FE,30 years
N270FE,3 years
N289FE,Brand new
N601FE,33 years
N615FE,27 years
N592FE,30 years
N299FE,3 years
N142FE,6 years
N177FE,3 years
N609FE,30 years
N166FE,4 years
N180FE,3 years
N578FE,33 years
N191FE,2 years
N141FE,6 years
N575FE,31 years
N595FE,30 years
N631FE,31 years
N179FE,3 years
N588FE,31 years
N625FE,26 years
N523FE,30 years
N167FE,4 years
N572FE,26 years
N573FE,26 years
N642FE,30 years
N628FE,32 years
N616FE,27 years
N620FE,24 years
N610FE,29 years
N190FE,2 years
N280FE,1 year
N619FE,26 years
N195FE,1 year
N599FE,29 years
N125FE,7 years
N275FE,2 years
N574FE,31 years
N111FE,2 years
N576FE,30 years
N176FE,3 years
N265FE,Brand new
N189FE,2 years
N608FE,30 years
N618FE,26 years
N183FE,3 years
N143FE,6 years
N606FE,29 years
N298FE,10 years
N172FE,4 years
N604FE,31 years
N146FE,6 years
N621FE,24 years
N175FE,3 years
N273FE,2 years
N133FE,6 years
N321FE,42 years
N157FE,5 years
N188FE,2 years
N161FE,4 years
N145FE,6 years
N114FE,8 years
N591FE,30 years
N297FE,11 years
N269FE,1 year
N173FE,4 years
N122FE,7 years
N586FE,32 years
N154FE,5 years
N117FE,8 years
N163FE,4 years
N162FE,4 years
N529FE,25 years
N603FE,31 years
F-GSPI,23 years
CN-RAM,4 years
CN-RGZ,4 years
CN-RGX,4 years
CN-RGY,3 years
CN-RGT,6 years
CN-RGS,6 years
CN-RGC,8 years
CN-RGB,8 years
CN-RGU,6 years
N353NB,20 years
N354NB,20 years
N332NB,21 years
N326NB,22 years
N530DE,Brand new
N519DT,Brand new
N315NB,23 years
N336NB,21 years
N321NB,22 years
N595NW,19 years
9V-SGA,4 years
9V-SGG,4 years
9V-SGB,4 years
9V-SGC,4 years
9V-SGF,4 years
9V-SGD,4 years
9V-SGE,5 years
N349NW,30 years
EC-MOY,6 years
A6-EOT,7 years
A6-EOW,7 years
A6-EUB,7 years
A6-EEW,9 years
A6-EEZ,9 years
A6-EEX,9 years
A6-EOK,8 years
A6-EUC,7 years
A6-EEI,10 years
A6-EOJ,8 years
A6-EEY,9 years
A6-EOU,7 years
A6-EOV,7 years
A6-EOB,8 years
A6-EUA,7 years
A6-EOA,9 years
A6-EDU,11 years
A6-EOI,8 years
A6-EOO,8 years
A6-EUD,7 years
A6-EEE,10 years
A6-EOZ,7 years
A6-EEJ,10 years
A6-EEA,10 years
A6-EDV,11 years
A6-EEN,9 years
N8783E,20 years
OH-LTU,12 years
OH-LTO,14 years
OH-LWA,7 years
OH-LTM,14 years
OH-LTP,14 years
OH-LTT,13 years
OH-LWD,7 years
OH-LTR,13 years
OH-LWB,7 years
OH-LWM,4 years
OH-LTN,14 years
OH-LWR,2 years
OH-LWG,6 years
N961AK,Brand new
N560AS,16 years
N516AS,14 years
N530AS,13 years
N528AS,13 years
N519AS,14 years
N552AS,17 years
N549AS,18 years
N518AS,14 years
N593AS,15 years
N527AS,13 years
N592AS,15 years
TF-ISX,23 years
TF-ICB,4 years
TF-ICA,4 years
TF-ICU,5 years
TF-ICC,4 years
TF-ICD,1 year
TF-ICP,4 years
TF-FIX,21 years
TF-ISO,23 years
TF-FIV,22 years
TF-FIK,23 years
TF-ISV,24 years
TF-FIN,25 years
TF-ICY,5 years
TF-ICN,4 years
TF-ICR,1 year
TF-ICO,4 years
TF-ICE,5 years
TF-ICM,3 years
TF-ICS,1 year
TF-ISW,25 years
TF-ISN,22 years
TF-FIA,22 years
TF-FIO,24 years
TF-ISP,25 years
G-STBE,11 years
G-STBF,11 years
EI-GCF,5 years
9H-POP,9 years
N832AW,21 years
N751UW,22 years
N354PT,5 years
N137AA,7 years
N138AN,7 years
N190UW,22 years
N934AA,6 years
N998AN,6 years
N901AA,6 years
N996AN,6 years
N146AA,7 years
N126AN,8 years
N166NN,6 years
N135NN,8 years
N543UW,11 years
N199UW,10 years
N930AU,6 years
N932AM,6 years
N413AN,2 years
N187US,21 years
N128AN,8 years
N908AA,5 years
N991AU,6 years
N510UW,14 years
N446AN,1 year
N920US,8 years
N539UW,13 years
N584UW,8 years
N524UW,13 years
N913US,8 years
N922US,8 years
N172US,22 years
N582UW,8 years
N549UW,11 years
N924US,8 years
N150UW,10 years
N176UW,22 years
N557UW,10 years
N151UW,10 years
N186US,21 years
N154UW,9 years
N124US,22 years
N125UW,13 years
N426AN,2 years
N412UW,3 years
N448AN,1 year
CS-TSJ,1 year
CS-TSG,5 years
CS-TSH,3 years
CS-TSF,5 years
CS-TSI,2 years
N315UP,26 years
N310UP,26 years
N361UP,9 years
N301UP,27 years
N352UP,11 years
N337UP,13 years
N316UP,25 years
N320UP,25 years
N335UP,13 years
N358UP,9 years
N334UP,21 years
N368UP,3 years
N342UP,12 years
N314UP,26 years
N377UP,1 year
N349UP,11 years
N371UP,3 years
N375UP,2 years
N322UP,25 years
N373UP,2 years
N331UP,23 years
N339UP,13 years
N354UP,10 years
N367UP,3 years
N346UP,11 years
N370UP,4 years
N325UP,24 years
N332UP,21 years
N317UP,25 years
N323UP,25 years
N353UP,10 years
N313UP,26 years
N305UP,27 years
N344UP,11 years
N356UP,10 years
N311UP,26 years
N340UP,12 years
N347UP,11 years
N304UP,27 years
N360UP,9 years
N326UP,24 years
N341UP,12 years
N448UP,28 years
N348UP,11 years
N312UP,26 years
N583UP,29 years
N272UP,29 years
N281UP,30 years
N254UP,29 years
N276UP,27 years
N280UP,26 years
N126UP,22 years
N329UP,23 years
N366UP,3 years
N171UP,17 years
N330UP,23 years
N355UP,10 years
N303UP,27 years
N350UP,11 years
N149UP,20 years
N309UP,26 years
N365UP,3 years
N161UP,19 years
N359UP,9 years
N131UP,22 years
N308UP,26 years
N133UP,22 years
N345UP,11 years
N336UP,13 years
N289UP,31 years
N328UP,24 years
N372UP,2 years
N351UP,11 years
N343UP,12 years
N357UP,10 years
N364UP,19 years
N363UP,19 years
N270UP,28 years
N374UP,2 years
N302UP,27 years
N327UP,24 years
N338UP,13 years
N369UP,3 years
N122US,22 years
N654AW,23 years
N712US,23 years
N805AW,23 years
N716UW,23 years
C-FEJY,17 years
C-FRQM,17 years
C-FRQW,17 years
C-FEKJ,17 years
C-FEJP,17 years
C-FUJE,13 years
C-FEKD,17 years
C-FEJL,17 years
C-FXJC,14 years
C-FUJA,14 years
C-FEJC,17 years
C-FEJF,17 years
C-FRQP,16 years
C-FFYG,17 years
C-FEKS,17 years
C-FEKI,17 years
C-FRQN,17 years
C-FRQK,17 years
N198UW,10 years
OE-LAE,22 years
OE-LAZ,23 years
OE-LAY,24 years
OE-LPB,24 years
CS-TOP,14 years
CS-TOO,15 years
CS-TUN,3 years
CS-TUA,4 years
CS-TUG,4 years
CS-TUP,3 years
CS-TUF,4 years
CS-TUC,4 years
CS-TUM,3 years
CS-TUR,3 years
CS-TUO,3 years
CS-TUK,3 years
CS-TUI,4 years
CS-TUS,3 years
CS-TUB,4 years
CS-TUL,4 years
CS-TUH,4 years
CS-TUQ,3 years
CS-TXF,2 years
CS-TXJ,1 year
CS-TXC,3 years
CS-TXG,2 years
CS-TXE,3 years
CS-TXI,1 year
CS-TXK,Brand new
CS-TXB,3 years
CS-TXA,4 years
CS-TXD,3 years
CS-TXH,1 year
CS-TUJ,3 years
CS-TUD,4 years
CS-TUE,4 years
SP-LSD,4 years
SP-LSF,3 years
SP-LSG,3 years
SP-LSB,5 years
SP-LSC,4 years
SP-LRF,9 years
SP-LSE,4 years
SP-LRB,10 years
SP-LRC,10 years
SP-LSA,5 years
SP-LRG,5 years
SP-LRD,9 years
SP-LRA,10 years
SP-LRH,5 years
SP-LRE,9 years
B-LRX,5 years
B-LRI,6 years
B-LXL,4 years
B-LQC,1 year
B-LXK,4 years
B-LQF,2 years
B-LQD,3 years
B-LQE,3 years
B-LRA,7 years
B-LRS,5 years
B-LRJ,6 years
B-LRR,5 years
B-LRE,6 years
B-LQA,3 years
N935DZ,11 years
N351NB,20 years
N6701,23 years
N512DN,4 years
N504DN,5 years
N507DN,5 years
N508DN,5 years
N509DN,5 years
N503DN,5 years
N502DN,5 years
N506DN,5 years
N510DN,5 years
N505DN,5 years
C-FCJP,23 years
C-FACJ,24 years
C-FCJF,21 years
C-GIAJ,36 years
C-GTCJ,30 years
C-GCJT,31 years
C-FKCJ,33 years
C-GCJB,23 years
C-FGKJ,31 years
C-GVAJ,31 years
C-GCJS,23 years
C-FKAJ,33 years
C-GAJU,24 years
N999YV,36 years
N881YV,36 years
N312DU,Brand new
N313DU,Brand new
G-STBA,12 years
HL8217,11 years
HL8208,13 years
HL7783,13 years
HL8274,10 years
HL8210,12 years
HL8275,9 years
HL8250,10 years
HL8218,11 years
HL8209,12 years
HL8216,12 years
HL7782,14 years
HL7202,5 years
HL8010,8 years
HL8009,7 years
HL8041,6 years
HL8011,8 years
HL8008,7 years
HL8347,3 years
HL8006,7 years
HL7204,5 years
HL8007,7 years
HL8042,6 years
HL7203,5 years
HL7205,4 years
HL7638,7 years
HL8346,4 years
CC-BBC,10 years
CC-BBJ,8 years
9Y-JAM,1 year
9Y-ANT,1 year
9Y-BAH,1 year
9Y-TTO,1 year
9Y-BAR,1 year
9Y-CAL,1 year
9Y-GRN,3 years
9Y-GUY,1 year
9Y-SUR,1 year
9Y-ANU,22 years
9Y-JMF,15 years
9Y-TAB,22 years
N315PE,6 years
N445AA,1 year
F-GSPP,22 years
F-GSPM,22 years
F-GSPY,21 years
F-GSPL,22 years
F-GSPJ,23 years
F-GSPE,24 years
F-GSPD,24 years
F-GSPG,24 years
F-GSPZ,21 years
F-GSPO,22 years
F-GSPQ,22 years
F-GSPX,21 years
F-GSPK,23 years
F-GSPN,22 years
F-GSPF,24 years
F-GSPA,25 years
F-GSPU,21 years
F-GZNT,7 years
F-GSQE,18 years
F-GSQP,16 years
F-GZNP,8 years
N568UW,9 years
N586UW,8 years
N534UW,13 years
N587UW,8 years
N916US,8 years
G-YMMH,22 years
D-AALN,3 years
D-AALJ,14 years
D-AALU,11 years
D-AALR,2 years
D-AALT,1 year
D-AALA,14 years
D-AALD,13 years
D-AALE,12 years
D-AALO,3 years
D-AALC,13 years
D-AALF,12 years
D-AALI,14 years
D-AALL,3 years
D-AALG,12 years
D-AALP,2 years
D-AALB,13 years
D-AALK,4 years
D-AALQ,2 years
D-AALM,3 years
D-AALH,12 years
N963AK,Brand new
N517AS,14 years
N583AS,15 years
N569AS,16 years
N306AS,22 years
N566AS,16 years
N559AS,16 years
N568AS,16 years
N302AS,22 years
N564AS,16 years
N318AS,19 years
N612AS,23 years
N611AS,23 years
N619AS,22 years
B-LJH,10 years
B-LJN,6 years
B-LJM,9 years
B-LJC,9 years
B-LJL,9 years
B-LJD,10 years
B-LJI,10 years
B-LJE,11 years
B-LJG,11 years
B-LJF,11 years
B-LJB,11 years
B-LJJ,10 years
B-LJK,9 years
B-LJA,11 years
EC-NEN,3 years
EC-NNH,3 years
EC-NRG,4 years
EC-NRH,4 years
LN-FNC,4 years
LN-FNB,3 years
LN-FND,5 years
LN-FNA,3 years
LN-FNG,4 years
LN-FNE,5 years
LN-FNI,4 years
LN-RKT,7 years
LN-RKS,7 years
SE-REH,4 years
LN-RKU,7 years
LN-RKN,19 years
SE-DMS,1 year
SE-DMR,1 year
SE-DMO,2 years
B-16729,6 years
B-16721,8 years
B-16726,7 years
B-16725,7 years
B-16720,8 years
B-16719,9 years
B-16727,6 years
B-16722,7 years
B-16723,7 years
B-16718,9 years
B-16728,6 years
B-16715,13 years
B-16717,13 years
C-FEIX,17 years
C-FXJF,13 years
C-FEIQ,17 years
C-FJBO,14 years
C-FEJB,17 years
C-GJNZ,2 years
C-GJZA,7 years
C-GUJZ,7 years
C-GGMI,11 years
C-GGND,11 years
C-GJZN,12 years
C-FFJA,18 years
N170US,22 years
N979UY,9 years
N102UW,24 years
N103US,24 years
N590AS,15 years
N942AV,Brand new
HK-5410,Brand new
N779AV,4 years
HK-5409,Brand new
N958AV,9 years
N956AV,9 years
N750AV,7 years
N477AV,10 years
N742AV,7 years
N862AV,11 years
A7-BBE,13 years
A7-BBC,13 years
A7-BBB,14 years
A7-BBA,14 years
A7-BBF,13 years
A7-BBH,12 years
A7-ALY,5 years
A7-ALS,5 years
A7-ALQ,5 years
A7-ALR,5 years
A7-AMJ,4 years
A7-BAA,15 years
A7-BAQ,12 years
A7-BAK,13 years
A7-BAJ,13 years
A7-ALJ,7 years
A7-ALK,6 years
JA788A,12 years
JA793A,4 years
JA784A,13 years
JA795A,4 years
JA797A,3 years
JA794A,4 years
JA785A,13 years
N589AS,15 years
N531AS,12 years
N596AS,15 years
N597AS,15 years
N594AS,15 years
XA-VLO,7 years
XA-VRH,4 years
N530VL,5 years
N526VL,8 years
XA-VRA,6 years
XA-VRF,4 years
XA-VRI,4 years
N531VL,5 years
N520VL,10 years
XA-VLX,6 years
XA-VLE,8 years
XA-VOZ,9 years
N508VL,11 years
N509VL,11 years
XA-VRC,6 years
N543VL,3 years
N534VL,5 years
XA-VLL,7 years
N541VL,3 years
XA-VRD,5 years
XA-VRE,4 years
XA-VLD,9 years
XA-VRR,2 years
XA-VRK,3 years
N515VL,10 years
N513VL,10 years
XA-VLQ,7 years
XA-VLM,7 years
XA-VRP,2 years
N528VL,6 years
N529VL,6 years
XA-VLN,7 years
N532VL,5 years
N525VL,8 years
N539VL,4 years
N533VL,5 years
XA-VLS,7 years
XA-VRS,2 years
XA-VRT,2 years
XA-VLP,7 years
XA-VRL,3 years
XA-VRQ,2 years
XA-VRN,3 years
XA-VLK,7 years
N510VL,10 years
N538VL,4 years
XA-VLR,7 years
XA-VLC,9 years
N519VL,10 years
N536VL,4 years
N511VL,10 years
XA-VRJ,4 years
N522VL,9 years
B-20AC,3 years
B-7185,7 years
B-7183,7 years
B-209Y,4 years
B-2049,7 years
B-2008,8 years
B-2048,8 years
B-20C5,3 years
B-20CK,3 years
LX-VCM,7 years
LX-ECV,14 years
N517DZ,1 year
B-7369,7 years
B-7343,7 years
B-2023,7 years
B-2002,8 years
B-2022,7 years
B-7365,6 years
B-7347,7 years
B-2021,7 years
B-2025,7 years
B-2005,8 years
B-7881,6 years
B-7868,6 years
XA-AMM,8 years
XA-AMA,10 years
N875AM,8 years
XA-AME,9 years
XA-AMV,7 years
XA-DRC,16 years
XA-AMC,9 years
XA-AMO,8 years
N950AM,16 years
N845AM,8 years
N368AR,11 years
N905AN,24 years
HP-9903CMP,4 years
HP-9919CMP,Brand new
HP-9905CMP,4 years
N741AV,7 years
N599AV,12 years
N755AV,6 years
UK78702,6 years
UK78706,3 years
UK32023,2 years
UK32021,4 years
UK32101,1 year
UK32102,1 year
UK32019,11 years
UK67003,11 years
UK32103,1 year
UK67006,9 years
UK67004,11 years
UK32022,4 years
N689TA,10 years
N821AV,11 years
N961AV,13 years
N939AV,11 years
N686TA,10 years
N451AV,13 years
N763AV,11 years
N632AV,9 years
N446AV,13 years
N664AV,14 years
N426AV,13 years
N980AV,13 years
N685TA,11 years
N567AV,12 years
N493TA,16 years
N769AV,5 years
N788AV,3 years
N522TA,10 years
B-2087,11 years
HP-9915CMP,1 year
HL7420,27 years
HL7419,28 years
HL7620,23 years
HL7421,27 years
HL7413,31 years
HL7436,21 years
HL7616,18 years
HL7415,30 years
HL7423,25 years
HL7417,29 years
G-DHLA,24 years
G-DHLF,13 years
G-DHLE,13 years
G-DHLG,13 years
G-DHLC,23 years
N562AV,10 years
HK-5318,4 years
N957AV,9 years
HK-5319,3 years
HK-5335,3 years
HK-5407,8 years
HK-5425,6 years
N951AV,14 years
N230AC,14 years
N345AV,12 years
N688TA,10 years
HK-5273,4 years
N253AC,14 years
HK-5422,7 years
N411AV,13 years
HK-5320,3 years
HK-5408,4 years
N281AV,13 years
N416AV,13 years
N960AV,8 years
N195AV,10 years
N954AV,14 years
N481AV,12 years
N401AV,13 years
N536AV,10 years
N992AV,13 years
N4304,13 years
N955AV,14 years
N411AE,12 years
N284AV,13 years
N398AV,13 years
N538AV,10 years
N376UP,1 year
N324UP,24 years
N307UP,26 years
N318UP,25 years
N174FE,4 years
N119FE,3 years
N121FE,7 years
N129FE,7 years
N288FE,Brand new
N198FE,1 year
N185FE,2 years
N137FE,6 years
N296FE,4 years
N165FE,4 years
N144FE,6 years
N126FE,7 years
N281FE,Brand new
N147FE,5 years
N285FE,Brand new
N150FE,5 years
N199FE,1 year
N160FE,5 years
N123FE,7 years
N274FE,2 years
N272FE,2 years
N164FE,4 years
TF-ISH,24 years
N586AS,15 years
N964AK,Brand new
N537AS,11 years
N614AS,23 years
N613AS,23 years
N622AS,22 years
N615AS,23 years
N536AS,11 years
VT-ALK,15 years
VT-ALR,13 years
VT-ALQ,13 years
VT-ALS,13 years
VT-ALH,13 years
VT-AEF,15 years
VT-ALG,13 years
VT-ALF,13 years
VT-AEG,14 years
VT-AEH,14 years
VT-ALN,14 years
VT-ALM,14 years
VT-ALP,13 years
VT-ALT,12 years
VT-ALX,5 years
N384HA,11 years
N379HA,7 years
N382HA,12 years
N375HA,8 years
N383HA,12 years
N378HA,8 years
N385HA,11 years
N396HA,9 years
N390HA,10 years
N388HA,11 years
N361HA,5 years
N389HA,10 years
N360HA,6 years
N373HA,8 years
N386HA,11 years
N380HA,13 years
N395HA,9 years
N374HA,8 years
N392HA,10 years
N399HA,9 years
N391HA,10 years
N381HA,13 years
N370HA,9 years
B-2091,8 years
B-2093,7 years
B-2096,9 years
B-2098,8 years
B-2097,9 years
B-2095,9 years
B-2092,8 years
B-222S,Brand new
B-2094,7 years
5Y-KZB,8 years
5Y-KZC,8 years
5Y-KZA,9 years
5Y-KZH,7 years
5Y-KZE,8 years
5Y-KZF,8 years
5Y-KZD,8 years
CC-BGF,7 years
PT-MUH,10 years
PS-LAA,3 years
PT-MUA,14 years
CC-BGL,6 years
CC-BGN,5 years
CC-BGH,7 years
PT-MUB,14 years
CC-BGE,7 years
PT-MUE,10 years
PT-MUF,10 years
CC-BGD,7 years
PT-MUG,10 years
PT-MUC,14 years
PT-MUI,9 years
PT-MUJ,9 years
CC-BGK,7 years
PT-MUD,14 years
CC-BGM,6 years
PT-MOD,10 years
CC-BGJ,7 years
CC-BGI,7 years
CC-BGA,8 years
CC-BGP,3 years
VT-ALJ,15 years
VT-ALO,13 years
VT-ALU,12 years
TC-MCM,15 years
TC-MCN,15 years
TC-MCZ,10 years
C-GVZB,19 years
N320AS,19 years
N557AS,16 years
B-LQB,3 years
B-LRG,6 years
B-LRP,6 years
B-LRF,6 years
B-LRQ,6 years
B-LRB,6 years
