FLIGHT REG,AGE
N578UW,9 years
N194UW,14 years
N183UW,21 years
N559UW,10 years
N980UY,9 years
N975UY,11 years
N195UW,14 years
N196UW,14 years
N165US,22 years
N162UW,22 years
N538UW,13 years
N509AY,14 years
N978UY,10 years
N523UW,13 years
N174US,22 years
N551UW,11 years
N173US,22 years
N182UW,21 years
N402YX,9 years
N419YX,9 years
N442YX,8 years
N132HQ,15 years
N109HQ,16 years
N114HQ,15 years
N436YX,8 years
N416YX,9 years
N129HQ,15 years
N102HQ,16 years
N420YX,9 years
N440YX,8 years
N406YX,9 years
N403YX,9 years
N421YX,9 years
N431YX,8 years
N447YX,8 years
N432YX,8 years
N410YX,9 years
N123HQ,15 years
N106HQ,16 years
N409YX,9 years
N429YX,8 years
N443YX,8 years
N108HQ,16 years
N427YX,9 years
N401YX,9 years
N446YX,8 years
N414YX,9 years
N417YX,9 years
N413YX,9 years
N444YX,8 years
N103HQ,16 years
N124HQ,15 years
N445YX,8 years
N439YX,8 years
N135HQ,15 years
N405YX,9 years
N441YX,8 years
N107HQ,16 years
N412YX,9 years
N128HQ,15 years
N451YX,2 years
N119HQ,15 years
N136HQ,14 years
N104HQ,16 years
N424YX,9 years
N411YX,9 years
N434YX,8 years
N116HQ,15 years
N453YX,1 year
N418YX,9 years
N126HQ,15 years
N138HQ,14 years
N407YX,9 years
N448YX,2 years
N117HQ,15 years
N118HQ,15 years
N112HQ,15 years
N101HQ,16 years
N426YX,9 years
N105HQ,16 years
N430YX,8 years
N450YX,2 years
N134HQ,15 years
N422YX,9 years
N428YX,9 years
N131HQ,15 years
N115HQ,15 years
N121HQ,15 years
N137HQ,14 years
N120HQ,15 years
N449YX,2 years
N438YX,8 years
N133HQ,15 years
N423YX,9 years
N856NW,18 years
N851NW,18 years
N841MH,21 years
N826MH,23 years
N842MH,21 years
N840MH,22 years
N829MH,22 years
N834MH,22 years
N839MH,22 years
N175DZ,24 years
N180DN,31 years
N182DN,30 years
N1201P,25 years
N927NN,10 years
N824NN,13 years
N959AN,22 years
N918AN,23 years
N771AN,24 years
N929NN,9 years
N832NN,13 years
N993NN,6 years
N854NN,12 years
N965NN,8 years
N913NN,10 years
N821NN,13 years
N842NN,12 years
N844NN,12 years
N955AN,22 years
N995NN,6 years
N959NN,8 years
N941AN,22 years
N868NN,11 years
N812NN,13 years
N342PM,5 years
N827NN,13 years
N968AN,21 years
N964AN,22 years
N952NN,8 years
N941NN,9 years
N996NN,6 years
N859NN,12 years
N942AN,22 years
N990AN,13 years
N914NN,10 years
N877NN,11 years
N864NN,12 years
N884NN,11 years
N998NN,6 years
N957NN,8 years
N883NN,10 years
N846NN,12 years
N805NN,13 years
N925AN,23 years
N991NN,7 years
N879NN,11 years
N874NN,11 years
N881NN,11 years
N954AN,22 years
N816NN,13 years
N839NN,13 years
N860NN,12 years
N893NN,10 years
N904NN,10 years
N885NN,11 years
N818NN,13 years
N822NN,13 years
N923NN,10 years
N916NN,10 years
N934NN,9 years
N872NN,11 years
N946AN,22 years
N851NN,12 years
N814NN,13 years
N992NN,6 years
N980NN,7 years
N939NN,9 years
N975AN,21 years
N887NN,11 years
N871NN,11 years
N933NN,9 years
N898NN,10 years
N932NN,9 years
N950NN,9 years
N938AN,22 years
N826NN,13 years
N988AL,6 years
N837NN,13 years
N811NN,13 years
N905NN,10 years
N825NN,13 years
N977NN,7 years
N920NN,10 years
N949AN,22 years
N845NN,12 years
N828AW,21 years
N855NN,12 years
N976NN,7 years
N809NN,13 years
N800NN,13 years
N956AN,22 years
N357PV,5 years
N870NN,11 years
N301NW,6 years
N964NN,8 years
N915NN,10 years
N960NN,8 years
N981AN,14 years
N948AN,22 years
N934AN,23 years
N850NN,12 years
N894NN,10 years
N929AN,23 years
N843NN,12 years
N926NN,10 years
N962AN,22 years
N972AN,21 years
N972NN,7 years
N938NN,9 years
N946NN,9 years
N963NN,8 years
N836NN,13 years
N971NN,8 years
N314PD,6 years
N804NN,13 years
N852NN,12 years
N986NN,7 years
N958NN,8 years
N997NN,6 years
N939AN,22 years
N355PU,5 years
N853NN,12 years
N967NN,8 years
N991AN,13 years
N830NN,13 years
N833NN,13 years
N803NN,13 years
N831NN,13 years
N847NN,12 years
N931AN,23 years
N974AN,21 years
N880NN,11 years
N970NN,8 years
N917NN,10 years
N947NN,9 years
N802NN,13 years
N834NN,13 years
N889NN,11 years
N849NN,12 years
N815NN,13 years
N806NN,13 years
N952AA,22 years
N915AN,23 years
N734AR,7 years
N856NN,12 years
N973AN,21 years
N989AN,13 years
N337PJ,6 years
N936AN,22 years
N987NN,7 years
N344PP,5 years
N987AN,14 years
N967AN,21 years
N857NN,12 years
N922NN,10 years
N945NN,9 years
N813NN,13 years
N309PC,6 years
N980AN,14 years
N907NN,10 years
N960AN,22 years
N942NN,9 years
N984NN,7 years
N876NN,11 years
N820NN,13 years
N989NN,7 years
N965AN,21 years
N358PW,5 years
N976AN,21 years
N988NN,7 years
N346PR,5 years
N896NN,10 years
N756AM,21 years
N352PS,5 years
N950AN,22 years
N947AN,22 years
N890NN,11 years
N971AN,21 years
N969NN,8 years
N848NN,12 years
N891NN,11 years
N305NX,6 years
N930AN,23 years
N940NN,9 years
N936NN,9 years
N990NN,7 years
N924AN,23 years
N969AN,21 years
N935NN,9 years
N808NN,13 years
N951NN,9 years
N823NN,13 years
N906NN,10 years
N968NN,8 years
N343PN,5 years
N886NN,11 years
N901NN,10 years
N961NN,8 years
N2047J,3 years
N2060J,2 years
N625JB,17 years
N559JB,20 years
N597JB,18 years
N2027J,3 years
N2043J,3 years
N2059J,2 years
N2002J,3 years
N2102J,2 years
N652JB,16 years
N973JT,4 years
N907JB,9 years
N2029J,3 years
N2016J,3 years
N2017J,3 years
N2084J,2 years
N2048J,3 years
N2086J,2 years
N957JB,7 years
N657JB,16 years
N2039J,3 years
N589JB,19 years
N905JB,9 years
N649JB,16 years
N659JB,15 years
N634JB,17 years
N615JB,17 years
N766JB,14 years
N571JB,19 years
N562JB,20 years
N705JB,15 years
N651JB,16 years
N534JB,21 years
N648JB,16 years
N709JB,15 years
N779JB,14 years
N612JB,18 years
N708JB,15 years
N598JB,18 years
N570JB,19 years
N903JB,9 years
N958JB,7 years
N949JT,8 years
N995JL,4 years
N966JT,6 years
N527JL,21 years
N588JB,19 years
N965JT,7 years
N913JB,9 years
N954JB,7 years
N996JL,4 years
N950JT,7 years
N972JT,6 years
N952JB,7 years
N974JT,6 years
N971JT,6 years
N975JT,6 years
N970JB,6 years
N999JQ,4 years
N997JL,4 years
N959JB,7 years
N956JT,7 years
N2038J,3 years
N633JB,17 years
N561JB,20 years
N594JB,18 years
N644JB,16 years
N558JB,20 years
N658JB,15 years
N599JB,18 years
N768JB,14 years
N661JB,15 years
N552JB,20 years
N635JB,17 years
N579JB,19 years
N621JB,17 years
N655JB,16 years
N608JB,18 years
N580JB,19 years
N763JB,14 years
N804JB,11 years
N16065,23 years
N174DZ,24 years
N190DN,26 years
N198DN,25 years
N1604R,24 years
N177DZ,24 years
N169DZ,24 years
N1603,24 years
N173DZ,24 years
N1605,23 years
N1602,24 years
N1200K,25 years
N188DN,26 years
N197DN,25 years
N189DN,26 years
N195DN,25 years
N176DZ,24 years
N178DZ,22 years
N171DZ,24 years
N836MH,22 years
N845MH,21 years
N172DZ,24 years
N186DN,27 years
N3121J,Brand new
N3102J,1 year
N3115J,Brand new
N3058J,1 year
N3118J,Brand new
N3125J,Brand new
N3077J,1 year
N3104J,1 year
N3008J,2 years
N3112J,Brand new
N3062J,1 year
N3023J,2 years
N3065J,1 year
N3113J,Brand new
N3085J,1 year
N3044J,2 years
N636JB,17 years
N566JB,19 years
N729JB,14 years
N646JB,16 years
N712JB,14 years
N806JB,10 years
N334JB,11 years
N203JB,17 years
N190JB,17 years
N193JB,17 years
N368JB,10 years
N231JB,17 years
N358JB,10 years
N346JB,11 years
N184JB,17 years
N265JB,16 years
N258JB,16 years
N283JB,15 years
N284JB,15 years
N206JB,17 years
N192JB,17 years
N317JB,12 years
N281JB,15 years
N183JB,17 years
N521JB,22 years
N267JB,16 years
N355JB,10 years
N373JB,10 years
N187JB,17 years
N238JB,16 years
N556JB,20 years
N524JB,21 years
N503JB,23 years
N902XJ,16 years
N918XJ,15 years
N933XJ,14 years
N602XJ,17 years
N833AY,18 years
N980EV,20 years
N685BR,20 years
N840AY,18 years
N8839E,19 years
N8869B,19 years
N8847A,19 years
N8946A,19 years
N820AY,18 years
N686BR,20 years
N8877A,19 years
N8918B,19 years
N832MH,22 years
N825MH,23 years
N830MH,22 years
N831MH,22 years
N413DX,Brand new
D-AIHW,14 years
D-AIHY,14 years
D-AIHZ,14 years
D-AIKO,14 years
D-AIGP,24 years
D-AIFC,22 years
D-AIGS,23 years
D-AIKR,11 years
D-AIKM,15 years
D-AIKP,11 years
D-AIGN,25 years
D-AIFE,21 years
D-AIKK,15 years
D-AIKN,15 years
D-AIKL,15 years
D-AIKS,9 years
D-ABVW,24 years
D-ABVU,24 years
D-ABTK,21 years
D-ABVM,25 years
D-ABVX,23 years
D-ABVY,22 years
D-ABVZ,22 years
D-ABYA,11 years
D-ABYJ,9 years
D-ABYR,8 years
D-ABYP,8 years
D-ABYO,9 years
D-ABYN,9 years
D-ABYG,10 years
D-ABYC,10 years
D-ABYK,9 years
D-ABYS,8 years
D-ABYL,9 years
D-ABYH,10 years
D-ABYT,8 years
D-ABYF,10 years
D-ABYU,8 years
D-ABYI,10 years
D-ABYQ,8 years
D-ABYM,9 years
D-ABYD,10 years
HP-1835CMP,9 years
HP-1840CMP,8 years
HP-1834CMP,9 years
HP-1832CMP,9 years
HP-1848CMP,7 years
HP-1839CMP,8 years
HP-1843CMP,8 years
HP-1831CMP,10 years
HP-1842CMP,8 years
HP-1837CMP,9 years
HP-1844CMP,8 years
HP-1841CMP,8 years
HP-1847CMP,7 years
HP-1727CMP,11 years
HP-1821CMP,11 years
HP-1833CMP,9 years
HP-1849CMP,7 years
HP-1725CMP,11 years
HP-1836CMP,9 years
HP-1826CMP,10 years
HP-1846CMP,8 years
HP-1829CMP,10 years
HP-1851CMP,7 years
HP-1845CMP,8 years
HP-1825CMP,10 years
HP-1830CMP,10 years
HP-1729CMP,11 years
HP-1838CMP,8 years
HP-1728CMP,11 years
HP-1827CMP,10 years
HP-1828CMP,10 years
HP-1822CMP,11 years
